internal_id,closest_1,closest_2,closest_3
746,1169,623,238
747,30574,30607,2486
748,30574,747,157
235,570,745,750
308,751,1264,1266
1,2,3,4
1,2,3,4
754,761,30660,30669
755,3904,30583,26685
65,66,109,110
757,769,1163,12794
70,758,768,3078
759,2668,2851,5567
760,107,2546,2549
754,761,30660,30669
65,66,109,110
763,23085,24180,30664
764,30672,757,769
415,765,1368,2339
766,30583,755,3904
767,30675,1154,771
70,758,768,3078
757,769,1163,12794
1,2,3,4
771,1154,767,27715
772,29530,30678,29721
773,2783,3944,33197
774,1217,30527,3485
775,30527,597,26657
46,51,590,776
1,2,3,4
778,30514,30564,38
46,51,590,776
780,594,638,1458
781,30494,1450,26654
782,52,1456,30609
783,26463,3849,23219
784,30461,30530,3485
785,30464,30446,30623
786,17930,30392,986
787,1459,1466,30410
788,30428,30516,915
789,1416,30410,1460
790,928,486,2609
791,6008,179,30473
172,792,23700,23714
793,1152,5999,1142
794,29486,29490,29492
1,2,3,4
796,29490,29492,22260
797,29495,2329,30339
798,3682,26505,29497
799,798,1061,26456
800,28423,1200,1290
801,26461,3241,26635
802,803,29505,34569
803,802,34651,26634
804,1307,3527,3670
805,27919,26480,26485
806,27447,1297,27449
807,27453,382,850
808,3500,842,2354
809,27424,801,1301
205,810,2355,26488
811,451,812,29527
812,29524,29587,811
813,3692,846,26526
814,34699,30674,415
815,14137,14154,816
816,123,124,17957
817,6069,816,818
818,816,123,124
1,2,3,4
820,1255,21,26514
821,6831,6836,26702
822,26703,6831,6836
823,2725,384,1235
824,34526,2749,1115
825,1289,1286,1116
826,1286,2476,6841
827,23113,26705,828
828,1286,26705,824
829,1285,34526,824
830,5626,1000,7609
831,26706,203,27886
65,66,109,110
1,2,3,4
834,28467,28464,26287
835,2758,8180,15121
836,26730,269,710
837,447,840,3219
838,1313,2369,3218
19,93,105,259
447,840,3219,3680
841,28506,1061,1236
842,92,2630,808
1,2,3,4
844,3456,1315,29577
845,850,27453,807
846,26526,2360,2732
847,29577,3456,205
848,1299,26500,26512
849,845,1198,29524
850,27453,845,807
851,57,3832,3833
852,3499,5880,7080
853,29580,852,842
235,570,745,750
855,30562,743,744
856,877,236,878
1,2,3,4
1,2,3,4
859,565,571,237
866,30607,2486,28356
867,26759,29284,26749
1,2,3,4
1,2,3,4
870,237,563,734
871,30616,996,763
872,871,108,29282
1,2,3,4
1,2,3,4
1,2,3,4
876,30535,34581,30538
877,236,878,572
878,236,877,572
237,563,734,742
880,591,2380,6095
1,2,3,4
1,2,3,4
883,237,563,734
235,570,745,750
885,883,235,570
886,237,563,734
887,34487,877,236
71,106,275,464
889,891,735,591
237,563,734,742
891,889,591,2380
892,1004,2488,3046
238,893,30661,30663
894,6068,6686,7568
895,23636,28838,3393
896,5998,6886,26816
897,692,26745,6823
1,2,3,4
899,26818,2424,896
900,729,50,22340
901,22348,22343,3121
902,163,386,1059
65,66,109,110
904,26796,26819,17922
905,2393,2382,900
906,2383,23776,26835
907,26821,17916,524
908,26822,17916,7014
909,911,26822,7014
1,2,3,4
911,26822,909,730
912,17923,26821,907
913,6000,588,23684
914,26614,1342,26650
915,26617,30428,924
916,30437,986,17930
495,499,917,985
918,988,30519,30489
919,30483,30489,924
920,915,26617,30576
921,916,184,918
922,838,1313,2369
923,30425,498,2621
924,30489,30483,915
925,3459,30489,3652
926,30492,980,30520
927,936,485,30552
928,486,2609,790
929,30495,1438,3460
930,26857,32,397
931,3463,183,30464
608,932,613,1219
531,933,30503,7059
934,30546,476,477
935,30549,988,26663
936,30552,927,981
937,30555,180,30419
938,323,33043,30566
939,927,936,26664
940,42,30382,30564
941,30437,30564,30428
942,30570,30519,17935
943,1345,989,26620
19,93,105,259
1,2,3,4
946,30446,785,30579
947,2659,1224,601
948,602,611,600
949,30527,1217,3485
950,30582,30452,1219
951,775,26538,30539
952,2452,18055,34224
46,51,590,776
1,2,3,4
1,2,3,4
956,29536,26676,27437
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
71,106,275,464
1,2,3,4
65,66,109,110
1,2,3,4
71,106,275,464
1,2,3,4
1,2,3,4
1,2,3,4
971,7597,2535,3308
1,2,3,4
1,2,3,4
974,30392,786,17930
975,936,17911,30552
976,30401,44,30561
977,30404,184,30434
978,30407,1457,30446
979,30413,1466,787
980,17921,982,926
981,30552,17911,26664
982,180,30419,30520
983,552,30522,928
984,498,2621,1466
495,499,917,985
986,17930,184,30519
987,17935,942,30519
988,30519,498,2621
989,30440,17944,30519
1,2,3,4
991,30576,30446,30464
992,30449,1225,1341
993,601,610,612
1,2,3,4
995,29298,108,996
996,859,565,571
997,7533,14849,34416
998,3400,5610,6833
65,66,109,110
1000,7609,30637,6919
235,570,745,750
1002,30640,30556,231
1,2,3,4
892,1004,2488,3046
1,2,3,4
1,2,3,4
1,2,3,4
1008,1272,7069,26564
1,2,3,4
1010,11262,34329,30658
235,570,745,750
1012,30658,22993,19220
1013,30583,763,23085
1014,1015,26824,1017
1015,26824,1014,1017
1016,26825,28,1017
1017,26823,1015,26824
1018,6850,1124,6828
1,2,3,4
1020,1021,1023,29350
1021,1023,29350,1020
1022,1137,7261,363
1023,29350,1021,171
1024,1231,30536,6033
1025,2430,25537,363
546,1026,30635,30653
1027,546,1026,30635
1028,2401,21060,33107
1030,34422,135,5686
171,242,244,251
1,2,3,4
1,2,3,4
1034,1035,10736,34704
1034,1035,10736,34704
19,93,105,259
222,272,273,1037
1,2,3,4
1,2,3,4
1,2,3,4
1041,1044,3765,3859
1042,30352,1204,29593
1043,30352,706,27463
1041,1044,3765,3859
1,2,3,4
1046,23211,17905,3814
1047,3740,3746,3783
1048,3782,3788,3789
1049,2340,26432,3224
1050,28266,30362,26441
1051,28267,30362,71
1052,28268,30363,417
1053,28270,30363,28269
1054,588,64,23684
1055,30627,31897,3522
1056,824,34526,2749
1,2,3,4
1058,26461,205,810
163,386,1059,1291
1060,1196,34461,3499
1061,2477,1236,798
1062,22252,25635,29497
1063,25630,25631,22252
1064,34437,29497,26446
1065,447,840,3219
1066,198,2470,30630
1067,30630,152,1237
1068,2719,1237,18055
1069,2736,2735,25515
1070,1427,1463,1451
1071,591,2380,6095
1072,1073,2468,545
1073,1251,1072,2468
1074,28172,28324,20431
1075,28174,1187,28153
15,18,86,413
1077,30436,28157,3967
15,18,86,413
1079,28182,1083,26469
1080,28184,1378,2347
1081,28186,3230,26467
1082,28189,1084,28195
1083,28191,1079,28182
1084,28195,1082,28189
1085,1084,28195,28199
1086,28197,28153,28204
1087,28201,28199,19850
1088,28204,1177,28316
1089,28206,1187,28153
377,424,430,1090
1,2,3,4
1092,26462,2347,26625
1093,28214,1178,1080
1094,27487,1338,26520
1095,27490,27489,27487
1096,27491,1098,27494
1097,27493,27492,2755
1098,27494,2638,1096
53,59,589,1099
1100,3522,169,5687
1,2,3,4
1112,26763,26764,27895
1113,2749,2476,1285
48,150,712,1114
1115,824,21258,21356
1116,1117,1119,7031
1116,1117,1119,7031
55,129,133,134
1116,1117,1119,7031
1120,383,1113,1285
1121,6841,7411,155
1122,18789,28436,1311
1123,6089,26283,6850
1124,6919,6945,1000
317,395,400,532
1,2,3,4
1127,1129,2464,2467
53,59,589,1099
1127,1129,2464,2467
1130,26370,6811,680
1,2,3,4
1134,30560,171,242
171,242,244,251
1,2,3,4
1022,1137,7261,363
1,2,3,4
171,242,244,251
1140,175,23738,30506
1141,172,792,23700
1142,1152,793,5999
1143,30462,26857,30509
171,242,244,251
1145,6055,26613,26489
1146,23734,23751,726
1,2,3,4
171,242,244,251
1149,30581,173,30502
1,2,3,4
1,2,3,4
1152,793,1142,5999
549,1153,30512,1465
1154,771,767,23306
1155,741,2499,1435
1,2,3,4
1157,2480,5877,25506
1,2,3,4
1,2,3,4
19,93,105,259
1161,30705,27640,2535
1,2,3,4
757,769,1163,12794
17,1164,2943,9959
1165,6022,7119,22364
1,2,3,4
1169,623,238,893
1,2,3,4
65,66,109,110
1,2,3,4
1,2,3,4
1174,28310,28313,30376
1175,28313,30376,1174
1176,1178,1184,28316
1177,28316,28204,1088
1178,1376,1180,28214
1179,28318,28295,28311
1180,1178,1184,1176
1181,28141,28320,348
1182,1404,28143,28321
1184,28145,30415,1176
1185,3452,21169,28315
1186,28151,28313,28306
1187,28153,1075,28174
1188,28155,1080,28184
1189,28157,3939,33192
1190,28161,9243,28290
1191,28204,1088,28227
15,18,86,413
1193,28170,335,20430
1194,1195,462,22356
1195,1194,852,28582
1196,1060,852,34461
2,1197,5163,16561
1198,29587,849,852
1199,29590,379,848
1200,28423,383,1290
1201,28430,28435,2758
1202,28444,2758,8180
1203,28450,28453,28456
1204,3702,28475,278
1205,28500,27465,707
1206,28510,2199,27465
1207,1318,28530,28520
1208,28542,705,27458
704,1209,1319,3662
1,2,3,4
1211,3650,19080,34591
1212,30377,28562,703
1,2,3,4
46,51,590,776
1,2,3,4
1216,598,30530,30525
1217,30527,774,3485
1218,30527,3485,30530
1219,597,30452,30582
46,51,590,776
1,2,3,4
1222,1448,33964,1424
1223,22343,22348,6067
1224,1341,26611,601
1225,30449,992,2659
726,1226,6040,7217
171,242,244,251
1,2,3,4
1,2,3,4
1,2,3,4
1024,1231,30536,6033
171,242,244,251
171,242,244,251
1234,823,1235,1310
1235,384,29546,28420
1236,1061,678,154
1237,152,18055,34224
1,2,3,4
1239,6079,31992,30684
19,93,105,259
1,2,3,4
659,660,662,1242
1243,1112,28430,26763
1244,2781,22436,12954
1,2,3,4
1246,30701,30702,2761
1,2,3,4
1248,6090,30704,2782
1249,657,4382,2782
1250,2783,4440,34373
1251,1073,2468,1338
1252,6009,2758,8180
1253,195,1252,27469
1254,97,30656,27469
1255,26709,820,26514
1256,192,123,124
1257,1256,26761,123
1258,190,17250,25426
1259,189,17250,25426
1260,30636,29300,1434
1261,30580,304,2362
1262,27689,695,2498
65,66,109,110
308,751,1264,1266
1265,26749,26756,892
308,751,1264,1266
